country,beer,spirit,wine,liters,continent,cont_AS,cont_EU,cont_NA,cont_OC,cont_SA,beer_level
Afghanistan,0.0,0,0,0.0,AS,True,False,False,False,False,low
Albania,89.0,132,54,4.9,EU,False,True,False,False,False,low
Algeria,25.0,0,14,0.7,AF,False,False,False,False,False,low
Andorra,245.0,138,312,12.4,EU,False,True,False,False,False,high
Angola,217.0,57,45,5.9,AF,False,False,False,False,False,high
Antigua & Barbuda,102.0,128,45,4.9,NA,False,False,True,False,False,med
Argentina,193.0,25,221,8.3,SA,False,False,False,False,True,med
Armenia,21.0,179,11,3.8,EU,False,True,False,False,False,low
Australia,261.0,72,212,10.4,OC,False,False,False,True,False,high
Austria,279.0,75,191,9.7,EU,False,True,False,False,False,high
Azerbaijan,21.0,46,5,1.3,EU,False,True,False,False,False,low
Bahamas,122.0,176,51,6.3,NA,False,False,True,False,False,med
Bahrain,42.0,63,7,2.0,AS,True,False,False,False,False,low
Bangladesh,0.0,0,0,0.0,AS,True,False,False,False,False,low
Barbados,143.0,173,36,6.3,NA,False,False,True,False,False,med
Belarus,142.0,373,42,14.4,EU,False,True,False,False,False,med
Belgium,295.0,84,212,10.5,EU,False,True,False,False,False,high
Belize,263.0,114,8,6.8,NA,False,False,True,False,False,high
Benin,34.0,4,13,1.1,AF,False,False,False,False,False,low
Bhutan,23.0,0,0,0.4,AS,True,False,False,False,False,low
Bolivia,167.0,41,8,3.8,SA,False,False,False,False,True,med
Bosnia-Herzegovina,76.0,173,8,4.6,EU,False,True,False,False,False,low
Botswana,173.0,35,35,5.4,AF,False,False,False,False,False,med
Brazil,245.0,145,16,7.2,SA,False,False,False,False,True,high
Brunei,31.0,2,1,0.6,AS,True,False,False,False,False,low
Bulgaria,231.0,252,94,10.3,EU,False,True,False,False,False,high
Burkina Faso,25.0,7,7,4.3,AF,False,False,False,False,False,low
Burundi,88.0,0,0,6.3,AF,False,False,False,False,False,low
Cote d'Ivoire,37.0,1,7,4.0,AF,False,False,False,False,False,low
Cabo Verde,144.0,56,16,4.0,AF,False,False,False,False,False,med
Cambodia,57.0,65,1,2.2,AS,True,False,False,False,False,low
Cameroon,147.0,1,4,5.8,AF,False,False,False,False,False,med
Canada,240.0,122,100,8.2,NA,False,False,True,False,False,high
Central African Republic,17.0,2,1,1.8,AF,False,False,False,False,False,low
Chad,15.0,1,1,0.4,AF,False,False,False,False,False,low
Chile,130.0,124,172,7.6,SA,False,False,False,False,True,med
China,79.0,192,8,5.0,AS,True,False,False,False,False,low
Colombia,159.0,76,3,4.2,SA,False,False,False,False,True,med
Comoros,1.0,3,1,0.1,AF,False,False,False,False,False,low
Congo,76.0,1,9,1.7,AF,False,False,False,False,False,low
Cook Islands,0.0,254,74,5.9,OC,False,False,False,True,False,low
Costa Rica,149.0,87,11,4.4,NA,False,False,True,False,False,med
Croatia,230.0,87,254,10.2,EU,False,True,False,False,False,high
Cuba,93.0,137,5,4.2,NA,False,False,True,False,False,low
Cyprus,192.0,154,113,8.2,EU,False,True,False,False,False,med
Czech Republic,361.0,170,134,11.8,EU,False,True,False,False,False,high
North Korea,0.0,0,0,0.0,AS,True,False,False,False,False,low
DR Congo,32.0,3,1,2.3,AF,False,False,False,False,False,low
Denmark,224.0,81,278,10.4,EU,False,True,False,False,False,high
Djibouti,15.0,44,3,1.1,AF,False,False,False,False,False,low
Dominica,52.0,286,26,6.6,NA,False,False,True,False,False,low
Dominican Republic,193.0,147,9,6.2,NA,False,False,True,False,False,med
Ecuador,162.0,74,3,4.2,SA,False,False,False,False,True,med
Egypt,6.0,4,1,0.2,AF,False,False,False,False,False,low
El Salvador,52.0,69,2,2.2,NA,False,False,True,False,False,low
Equatorial Guinea,92.0,0,233,5.8,AF,False,False,False,False,False,low
Eritrea,18.0,0,0,0.5,AF,False,False,False,False,False,low
Estonia,224.0,194,59,9.5,EU,False,True,False,False,False,high
Ethiopia,20.0,3,0,0.7,AF,False,False,False,False,False,low
Fiji,77.0,35,1,2.0,OC,False,False,False,True,False,low
Finland,263.0,133,97,10.0,EU,False,True,False,False,False,high
France,127.0,151,370,11.8,EU,False,True,False,False,False,med
Gabon,347.0,98,59,8.9,AF,False,False,False,False,False,high
Gambia,8.0,0,1,2.4,AF,False,False,False,False,False,low
Georgia,52.0,100,149,5.4,EU,False,True,False,False,False,low
Germany,346.0,117,175,11.3,EU,False,True,False,False,False,high
Ghana,31.0,3,10,1.8,AF,False,False,False,False,False,low
Greece,133.0,112,218,8.3,EU,False,True,False,False,False,med
Grenada,199.0,438,28,11.9,NA,False,False,True,False,False,med
Guatemala,53.0,69,2,2.2,NA,False,False,True,False,False,low
Guinea,9.0,0,2,0.2,AF,False,False,False,False,False,low
Guinea-Bissau,28.0,31,21,2.5,AF,False,False,False,False,False,low
Guyana,93.0,302,1,7.1,SA,False,False,False,False,True,low
Haiti,1.0,326,1,5.9,NA,False,False,True,False,False,low
Honduras,69.0,98,2,3.0,NA,False,False,True,False,False,low
Hungary,234.0,215,185,11.3,EU,False,True,False,False,False,high
Iceland,233.0,61,78,6.6,EU,False,True,False,False,False,high
